Amount,Location,Type,Hour,Day,Is_New_Location,Is_High_Amount,Class
93.85,Pune,Bank Transfer,20,Sun,0,0,0
602.02,Delhi,E-Commerce,15,Fri,0,0,0
263.35,Hyderabad,POS Swipe,14,Tue,0,0,0
182.59,Other,UPI,2,Tue,0,0,1
33.92,Bangalore,POS Swipe,0,Wed,1,0,1
33.92,Bangalore,E-Commerce,12,Sat,0,0,0
11.97,Bangalore,POS Swipe,21,Mon,1,0,0
402.25,Other,POS Swipe,11,Thu,0,0,0
183.82,Mumbai,Bank Transfer,8,Mon,0,0,0
246.25,Other,POS Swipe,1,Tue,0,0,0
4.16,Mumbai,Bank Transfer,8,Wed,0,0,0
700.71,Bangalore,Bank Transfer,7,Thu,0,0,0
357.29,Pune,ATM Withdrawal,4,Fri,0,0,0
47.74,Pune,E-Commerce,12,Fri,0,0,0
40.14,Mumbai,Bank Transfer,1,Tue,0,0,0
40.52,Bangalore,POS Swipe,9,Wed,0,0,0
72.55,Other,Bank Transfer,5,Sun,0,0,0
148.79,Pune,Bank Transfer,6,Sat,0,0,0
113.11,Mumbai,Bank Transfer,2,Mon,0,0,0
68.84,Other,UPI,13,Tue,0,0,0
189.27,Bangalore,UPI,15,Sat,0,0,0
30.05,Delhi,UPI,5,Sat,0,0,1
69.1,Bangalore,UPI,21,Mon,0,0,0
91.26,Bangalore,ATM Withdrawal,7,Thu,0,0,0
121.79,Other,Bank Transfer,0,Mon,0,0,0
307.59,Other,ATM Withdrawal,19,Thu,0,0,0
44.55,Hyderabad,POS Swipe,14,Sat,0,0,0
144.41,Hyderabad,E-Commerce,16,Wed,0,0,0
179.5,Other,ATM Withdrawal,23,Tue,0,0,0
9.51,Other,UPI,17,Mon,0,0,0
187.07,Delhi,UPI,23,Wed,1,0,1
37.39,Delhi,POS Swipe,2,Wed,1,0,1
13.45,Bangalore,Bank Transfer,23,Mon,0,0,0
594.74,Pune,E-Commerce,5,Fri,0,0,1
674.13,Delhi,ATM Withdrawal,16,Sat,0,0,0
330.47,Bangalore,Bank Transfer,22,Fri,0,0,0
72.66,Mumbai,Bank Transfer,12,Thu,0,0,0
20.56,Hyderabad,ATM Withdrawal,22,Wed,0,0,0
230.55,Pune,ATM Withdrawal,21,Tue,0,1,0
116.02,Bangalore,ATM Withdrawal,16,Tue,0,0,0
26.03,Other,ATM Withdrawal,20,Wed,1,0,0
136.71,Mumbai,UPI,15,Fri,0,0,0
7.0,Hyderabad,Bank Transfer,16,Sat,0,0,0
480.08,Mumbai,Bank Transfer,0,Wed,0,0,0
59.89,Bangalore,UPI,15,Sun,0,0,0
217.25,Delhi,Bank Transfer,5,Thu,0,1,0
74.71,Hyderabad,ATM Withdrawal,7,Wed,1,0,0
146.82,Mumbai,E-Commerce,0,Mon,0,0,0
158.24,Delhi,Bank Transfer,1,Fri,0,0,0
40.88,Pune,E-Commerce,14,Mon,0,0,0
698.56,Bangalore,E-Commerce,4,Mon,0,0,1
298.45,Bangalore,UPI,23,Wed,0,0,1
561.02,Hyderabad,POS Swipe,19,Sat,0,0,0
450.43,Mumbai,Bank Transfer,14,Wed,1,0,0
182.21,Pune,UPI,20,Sat,0,0,0
509.89,Other,UPI,9,Tue,0,0,1
18.53,Hyderabad,E-Commerce,4,Sat,0,0,0
43.63,Other,Bank Transfer,2,Mon,0,0,0
9.26,Hyderabad,UPI,5,Wed,0,0,1
78.71,Mumbai,ATM Withdrawal,20,Tue,0,0,0
98.43,Pune,UPI,14,Sun,0,0,0
63.31,Mumbai,ATM Withdrawal,17,Mon,0,0,0
352.91,Bangalore,POS Swipe,13,Tue,0,1,0
88.25,Other,ATM Withdrawal,9,Fri,0,0,0
65.96,Delhi,ATM Withdrawal,3,Thu,0,0,0
156.48,Bangalore,E-Commerce,10,Mon,0,0,0
30.38,Bangalore,UPI,19,Wed,0,1,0
324.1,Other,POS Swipe,6,Sat,0,0,0
15.5,Hyderabad,UPI,14,Fri,0,0,0
866.83,Bangalore,ATM Withdrawal,22,Sun,0,0,1
295.9,Pune,ATM Withdrawal,8,Tue,0,0,0
44.31,Bangalore,UPI,14,Thu,1,0,1
1.11,Pune,POS Swipe,11,Sat,0,0,0
337.98,Mumbai,POS Swipe,17,Mon,0,0,0
245.42,Hyderabad,E-Commerce,5,Thu,0,0,0
261.13,Pune,ATM Withdrawal,17,Fri,0,0,0
295.04,Bangalore,ATM Withdrawal,17,Thu,0,0,0
15.39,Hyderabad,E-Commerce,21,Mon,0,0,0
88.78,Hyderabad,UPI,23,Fri,0,0,1
24.63,Pune,ATM Withdrawal,5,Tue,0,0,0
397.71,Pune,UPI,14,Mon,0,0,0
195.26,Delhi,POS Swipe,18,Thu,0,0,0
80.36,Delhi,Bank Transfer,4,Mon,0,0,0
13.13,Hyderabad,E-Commerce,3,Fri,1,0,1
74.5,Other,ATM Withdrawal,16,Thu,0,0,0
78.66,Other,E-Commerce,20,Tue,0,1,0
261.58,Delhi,POS Swipe,9,Sun,1,0,0
202.98,Bangalore,POS Swipe,11,Sun,0,0,0
436.45,Mumbai,POS Swipe,4,Sat,0,0,0
127.81,Hyderabad,POS Swipe,6,Wed,0,1,0
25.47,Mumbai,Bank Transfer,11,Tue,0,1,0
249.83,Delhi,UPI,22,Mon,0,0,1
286.08,Pune,UPI,1,Wed,0,0,1
164.78,Hyderabad,Bank Transfer,19,Sat,0,0,0
294.78,Delhi,UPI,16,Sat,0,0,0
136.16,Bangalore,POS Swipe,12,Fri,0,0,0
147.94,Hyderabad,UPI,4,Sat,0,0,1
111.56,Hyderabad,E-Commerce,4,Sun,0,0,0
5.15,Other,UPI,19,Thu,1,1,1
22.83,Pune,E-Commerce,11,Thu,0,0,0
6.39,Hyderabad,ATM Withdrawal,11,Fri,0,0,0
202.35,Pune,E-Commerce,6,Sat,0,0,0
75.48,Delhi,E-Commerce,5,Mon,0,0,0
142.09,Bangalore,POS Swipe,9,Tue,0,0,0
476.25,Bangalore,POS Swipe,18,Sun,0,0,0
57.35,Hyderabad,POS Swipe,15,Wed,0,0,0
105.66,Hyderabad,E-Commerce,1,Fri,1,1,1
281.75,Delhi,Bank Transfer,3,Sat,0,0,0
51.96,Other,POS Swipe,8,Mon,0,1,0
16.02,Other,POS Swipe,4,Mon,1,0,1
68.43,Other,E-Commerce,0,Wed,1,0,1
35.16,Pune,ATM Withdrawal,10,Fri,0,0,0
530.99,Other,ATM Withdrawal,18,Tue,1,0,1
330.18,Bangalore,UPI,22,Sun,0,0,1
200.7,Pune,ATM Withdrawal,2,Tue,0,0,0
410.3,Delhi,POS Swipe,0,Fri,0,0,0
325.59,Bangalore,Bank Transfer,3,Thu,0,0,0
41.3,Bangalore,UPI,8,Sun,0,0,0
446.16,Mumbai,Bank Transfer,15,Sat,0,0,0
155.02,Delhi,Bank Transfer,6,Tue,0,0,0
329.47,Delhi,POS Swipe,4,Thu,0,0,0
452.85,Mumbai,E-Commerce,12,Fri,1,0,0
76.55,Pune,E-Commerce,10,Sat,0,1,0
23.32,Other,E-Commerce,13,Mon,0,0,0
51.74,Other,ATM Withdrawal,21,Fri,0,0,0
111.41,Other,E-Commerce,16,Mon,0,0,0
340.77,Other,POS Swipe,22,Fri,0,0,0
394.27,Other,ATM Withdrawal,11,Sun,0,0,0
1.4,Mumbai,E-Commerce,20,Thu,0,0,0
142.98,Delhi,Bank Transfer,22,Sat,1,0,1
108.05,Pune,POS Swipe,20,Thu,1,0,0
50.23,Bangalore,POS Swipe,20,Sat,1,0,0
25.54,Other,UPI,18,Sun,0,0,0
82.38,Mumbai,POS Swipe,4,Fri,0,0,0
572.62,Pune,Bank Transfer,23,Mon,0,0,1
78.08,Pune,POS Swipe,7,Fri,0,0,0
146.29,Pune,UPI,1,Mon,0,0,1
242.82,Mumbai,POS Swipe,16,Thu,0,0,0
90.39,Bangalore,POS Swipe,1,Wed,0,0,0
713.56,Other,UPI,22,Tue,0,0,1
656.4,Pune,POS Swipe,2,Thu,0,0,1
58.01,Mumbai,ATM Withdrawal,23,Fri,0,0,0
137.53,Delhi,POS Swipe,19,Fri,1,0,0
71.59,Mumbai,E-Commerce,23,Mon,0,0,0
67.05,Mumbai,E-Commerce,17,Tue,0,0,0
7.52,Mumbai,ATM Withdrawal,14,Sat,0,0,0
188.1,Pune,POS Swipe,4,Thu,1,0,1
139.7,Mumbai,Bank Transfer,21,Sun,0,0,0
10.57,Delhi,POS Swipe,16,Tue,0,0,0
65.33,Pune,E-Commerce,13,Tue,0,0,0
477.77,Delhi,UPI,0,Thu,0,0,1
54.77,Hyderabad,ATM Withdrawal,13,Mon,0,0,0
31.31,Mumbai,UPI,8,Sat,0,0,0
134.45,Other,Bank Transfer,4,Mon,0,0,0
848.81,Other,POS Swipe,3,Sun,0,0,1
55.43,Pune,Bank Transfer,0,Mon,0,0,0
223.03,Other,UPI,2,Wed,0,0,1
286.78,Pune,POS Swipe,19,Tue,0,0,0
54.27,Mumbai,Bank Transfer,10,Wed,0,0,0
260.55,Bangalore,E-Commerce,15,Mon,1,0,0
91.7,Bangalore,E-Commerce,10,Sat,0,0,0
200.1,Delhi,ATM Withdrawal,20,Thu,0,0,0
200.77,Mumbai,E-Commerce,9,Tue,1,0,0
153.48,Other,E-Commerce,11,Thu,0,0,0
18.93,Mumbai,UPI,4,Fri,1,0,1
360.73,Hyderabad,E-Commerce,9,Tue,0,0,0
77.36,Bangalore,E-Commerce,23,Thu,0,0,0
41.29,Other,UPI,12,Mon,1,0,1
8.33,Bangalore,E-Commerce,18,Wed,0,0,0
178.76,Mumbai,E-Commerce,6,Thu,0,0,0
226.37,Other,ATM Withdrawal,15,Sun,0,0,0
3.35,Delhi,E-Commerce,5,Sat,0,0,0
143.53,Mumbai,E-Commerce,9,Fri,1,0,0
51.36,Delhi,ATM Withdrawal,9,Mon,0,0,0
207.22,Other,UPI,10,Sun,0,0,0
38.32,Bangalore,E-Commerce,21,Fri,0,0,0
234.84,Hyderabad,Bank Transfer,9,Sat,1,0,0
97.79,Pune,UPI,13,Sat,0,0,0
552.07,Bangalore,UPI,14,Wed,0,0,1
29.59,Delhi,E-Commerce,6,Fri,1,0,0
83.43,Mumbai,ATM Withdrawal,12,Sat,0,0,0
24.09,Other,UPI,10,Thu,0,0,0
517.24,Bangalore,ATM Withdrawal,6,Sat,0,0,0
419.67,Hyderabad,Bank Transfer,10,Sat,0,1,0
59.67,Other,ATM Withdrawal,13,Thu,0,0,0
215.75,Delhi,POS Swipe,16,Mon,0,0,0
339.9,Other,ATM Withdrawal,15,Wed,0,0,0
162.03,Other,UPI,0,Wed,0,0,1
150.86,Mumbai,ATM Withdrawal,8,Tue,0,0,0
55.38,Pune,ATM Withdrawal,8,Sun,0,0,0
19.55,Delhi,POS Swipe,9,Tue,0,0,0
455.02,Mumbai,POS Swipe,18,Thu,0,0,0
461.35,Pune,E-Commerce,14,Sat,1,0,0
200.53,Mumbai,UPI,15,Fri,0,0,0
82.81,Pune,E-Commerce,10,Sat,0,0,0
85.91,Pune,POS Swipe,23,Sat,0,0,0
258.89,Pune,ATM Withdrawal,16,Fri,0,0,0
454.82,Mumbai,POS Swipe,18,Mon,1,0,0
436.23,Other,Bank Transfer,12,Wed,0,0,0
302.71,Pune,ATM Withdrawal,5,Thu,0,0,0
205.46,Other,E-Commerce,14,Fri,1,0,0
17.58,Delhi,ATM Withdrawal,15,Tue,0,0,0
35.26,Hyderabad,Bank Transfer,3,Thu,0,0,0
457.65,Other,POS Swipe,7,Mon,0,0,0
186.5,Hyderabad,UPI,6,Thu,0,0,0
1.85,Pune,UPI,16,Fri,0,1,0
21.4,Hyderabad,UPI,15,Sun,0,0,0
217.83,Hyderabad,POS Swipe,1,Mon,0,0,0
1.01,Pune,UPI,16,Sat,0,0,0
35.06,Other,Bank Transfer,3,Tue,0,0,0
159.14,Pune,POS Swipe,13,Tue,0,0,0
235.46,Delhi,UPI,7,Fri,0,0,0
211.09,Bangalore,E-Commerce,4,Mon,0,0,0
50.79,Mumbai,POS Swipe,4,Tue,0,0,0
249.08,Pune,POS Swipe,4,Mon,0,1,0
